nFeature_RNA	nCount_RNA	stage	version
1803	10544	larval	version_1
2667	16129	larval	version_1
2349	12812	larval	version_1
1020	3993	larval	version_1
3017	19474	larval	version_1
2093	9977	larval	version_1
1275	5801	larval	version_1
2126	11497	larval	version_1
3985	31087	larval	version_1
1428	4724	larval	version_1
2497	11956	larval	version_1
2358	13205	larval	version_1
3252	22816	larval	version_1
2178	11073	larval	version_1
1819	10513	larval	version_1
2958	16410	larval	version_1
1487	6946	larval	version_1
1150	3576	larval	version_1
2580	14842	larval	version_1
1885	11885	larval	version_1
1570	5658	larval	version_1
2084	14172	larval	version_1
2009	11289	larval	version_1
2412	13294	larval	version_1
2415	14638	larval	version_1
957	2991	larval	version_1
2306	11308	larval	version_1
2353	11109	larval	version_1
2391	12638	larval	version_1
3462	22439	larval	version_1
2499	14811	larval	version_1
871	2760	larval	version_1
3103	17100	larval	version_1
1479	4791	larval	version_1
2716	15638	larval	version_1
2212	12281	larval	version_1
1744	9819	larval	version_1
3659	24079	larval	version_1
668	6839	larval	version_1
3022	17708	larval	version_1
2785	15647	larval	version_1
2611	15229	larval	version_1
2424	15761	larval	version_1
2637	14258	larval	version_1
2632	14618	larval	version_1
2577	13496	larval	version_1
2799	15768	larval	version_1
1144	5214	larval	version_1
2845	17338	larval	version_1
1612	6091	larval	version_1
2540	13674	larval	version_1
3233	19781	larval	version_1
2780	17580	larval	version_1
1517	4615	larval	version_1
1170	5249	larval	version_1
2960	15323	larval	version_1
2414	13197	larval	version_1
2821	16617	larval	version_1
1789	8279	larval	version_1
1566	5287	larval	version_1
1388	5071	larval	version_1
1818	10442	larval	version_1
1383	7002	larval	version_1
2524	11612	larval	version_1
3203	16676	larval	version_1
2828	17419	larval	version_1
1860	9753	larval	version_1
2452	13189	larval	version_1
985	2953	larval	version_1
2144	11003	larval	version_1
1326	5251	larval	version_1
2574	13733	larval	version_1
1637	5837	larval	version_1
1450	5335	larval	version_1
1591	5393	larval	version_1
1587	8280	larval	version_1
2386	13852	larval	version_1
880	3844	larval	version_1
3892	31110	larval	version_1
879	3148	larval	version_1
1545	4609	larval	version_1
2395	14596	larval	version_1
2959	16413	larval	version_1
2666	14373	larval	version_1
2423	12721	larval	version_1
915	4173	larval	version_1
2445	14507	larval	version_1
2629	12519	larval	version_1
2242	12151	larval	version_1
1400	5100	larval	version_1
1002	4565	larval	version_1
2254	12363	larval	version_1
1706	6200	larval	version_1
890	4465	larval	version_1
2099	11586	larval	version_1
3333	21217	larval	version_1
2335	8226	larval	version_1
1580	9040	larval	version_1
2355	13116	larval	version_1
2416	12678	larval	version_1
2247	12921	larval	version_1
1596	7399	larval	version_1
2552	13063	larval	version_1
1763	8367	larval	version_1
1221	3836	larval	version_1
3147	18567	larval	version_1
1761	11770	larval	version_1
1001	4712	larval	version_1
3121	18555	larval	version_1
2031	9406	larval	version_1
1445	5119	larval	version_1
2434	13211	larval	version_1
2625	16313	larval	version_1
2972	18401	larval	version_1
810	3197	larval	version_1
1668	5229	larval	version_1
2858	14150	larval	version_1
681	3780	larval	version_1
1718	5193	larval	version_1
929	9741	larval	version_1
2003	10816	larval	version_1
2363	14946	larval	version_1
2191	8867	larval	version_1
2985	16677	larval	version_1
1124	3799	larval	version_1
3245	21023	larval	version_1
3538	25497	larval	version_1
3251	20883	larval	version_1
909	4747	larval	version_1
2011	9967	larval	version_1
2352	14493	larval	version_1
2018	8351	larval	version_1
2003	8946	larval	version_1
3807	25346	larval	version_1
1226	3495	larval	version_1
1781	8899	larval	version_1
920	2671	larval	version_1
2538	15566	larval	version_1
2629	15605	larval	version_1
3133	17137	larval	version_1
1366	5597	larval	version_1
1329	4186	larval	version_1
1820	11256	larval	version_1
2206	11146	larval	version_1
1867	9705	larval	version_1
1533	7427	larval	version_1
1364	4234	larval	version_1
1758	6022	larval	version_1
2177	9565	larval	version_1
1279	6883	larval	version_1
3124	16782	larval	version_1
1923	11407	larval	version_1
2598	14382	larval	version_1
1529	4855	larval	version_1
1735	6398	larval	version_1
2982	17864	larval	version_1
2439	13426	larval	version_1
3406	19949	larval	version_1
2104	11597	larval	version_1
2836	13190	larval	version_1
1879	6133	larval	version_1
1196	3958	larval	version_1
2985	21542	larval	version_1
2799	17640	larval	version_1
3241	20824	larval	version_1
2239	11688	larval	version_1
1313	4171	larval	version_1
1629	5426	larval	version_1
2434	14280	larval	version_1
1520	6055	larval	version_1
1510	8245	larval	version_1
1446	3817	larval	version_1
2701	16020	larval	version_1
1251	5745	larval	version_1
1825	5597	larval	version_1
1244	4810	larval	version_1
2917	16463	larval	version_1
2733	14171	larval	version_1
1853	9145	larval	version_1
1335	4397	larval	version_1
1590	5247	larval	version_1
944	2990	larval	version_1
1470	6971	larval	version_1
3003	17921	larval	version_1
1801	8215	larval	version_1
1997	10307	larval	version_1
2801	14560	larval	version_1
2612	12036	larval	version_1
2063	9229	larval	version_1
2377	12412	larval	version_1
2906	17277	larval	version_1
1283	3621	larval	version_1
2163	9646	larval	version_1
2007	8326	larval	version_1
2686	12592	larval	version_1
1109	3807	larval	version_1
1439	6342	larval	version_1
2997	16027	larval	version_1
2336	12334	larval	version_1
1712	7149	larval	version_1
3242	20779	larval	version_1
1675	6781	larval	version_1
3176	17452	larval	version_1
2184	11841	larval	version_1
2544	14517	larval	version_1
