nCount_RNA	nFeature_RNA	percent.mt	orig.ident
9536	2021	0.80746644295302	2dpf
4795	1151	5.56830031282586	2dpf
993	572	18.429003021148	2dpf
12640	2365	0.973101265822785	2dpf
9431	2078	1.37843282790796	2dpf
16687	2800	0.641217714388446	2dpf
21311	3149	1.00886865937779	2dpf
1651	951	5.33010296789824	2dpf
8858	1820	1.33212914879205	2dpf
6747	1521	1.3635689936268	2dpf
5292	1207	0.491307634164777	2dpf
20745	3243	1.0942395758014	2dpf
5938	1160	1.27989221960256	2dpf
7556	1639	0.820539968237162	2dpf
10838	2246	1.26407086178262	2dpf
1624	533	2.64778325123153	2dpf
5066	1260	1.14488748519542	2dpf
3095	1141	1.2924071082391	2dpf
3741	1052	1.36327185244587	2dpf
3707	1147	1.13299163744268	2dpf
6594	1194	0.0606612071580224	2dpf
14427	2322	1.21300339640951	2dpf
15408	2480	1.07736240913811	2dpf
2124	1140	7.7683615819209	2dpf
14239	2467	0.920008427558115	2dpf
9296	1760	0	2dpf
12786	2190	0.719536993586736	2dpf
2863	707	2.37513098148795	2dpf
11969	2282	1.00259002422926	2dpf
11152	2019	1.17467718794835	2dpf
4440	1075	1.17117117117117	2dpf
9619	1734	1.9440690300447	2dpf
12316	2154	1.2179278986684	2dpf
16137	2636	1.02869182623784	2dpf
11359	2381	1.24130645303284	2dpf
8343	1592	0.862998921251348	2dpf
6486	1506	1.24884366327475	2dpf
5575	1474	0.340807174887892	2dpf
10878	2014	1.06637249494392	2dpf
6091	1421	1.97011984895748	2dpf
9895	1916	0.818595250126327	2dpf
2597	709	1.65575664227955	2dpf
20140	3103	1.13207547169811	2dpf
618	391	0.485436893203883	2dpf
15635	2879	1.34953629677007	2dpf
3222	903	3.01055245189323	2dpf
9985	2207	0.741111667501252	2dpf
727	484	7.97799174690509	2dpf
8185	1423	1.06291997556506	2dpf
3248	1082	1.41625615763547	2dpf
6058	1684	1.7992736876857	2dpf
8173	1959	1.37036583873731	2dpf
14913	2573	1.00583383625025	2dpf
10929	1817	0.924146765486321	2dpf
3965	1048	0.403530895334174	2dpf
5148	1120	0.407925407925408	2dpf
10189	2155	1.19736971243498	2dpf
13919	2706	0.819024355197931	2dpf
5115	1771	1.25122189638319	2dpf
1975	867	11.6962025316456	2dpf
13080	2360	1.09327217125382	2dpf
3354	918	0.655933214072749	2dpf
24296	1065	0.168752057951926	2dpf
1504	777	12.4335106382979	2dpf
7750	1636	1.18709677419355	2dpf
14132	2500	1.26662892725729	2dpf
4200	1067	1.30952380952381	2dpf
875	465	14.1714285714286	2dpf
6561	1332	0.0457247370827618	2dpf
6908	1420	0.998841922408801	2dpf
8558	1692	0.946482823089507	2dpf
7702	1424	10.1402233186185	2dpf
921	374	28.6644951140065	2dpf
16739	2700	0.770655355756019	2dpf
5621	1716	1.01405443871197	2dpf
4510	1096	0.82039911308204	2dpf
8141	1893	0.700159685542317	2dpf
3789	1208	1.26682501979414	2dpf
2916	1252	4.21810699588477	2dpf
15788	2898	1.13377248543197	2dpf
3696	1135	4.68073593073593	2dpf
540	282	33.3333333333333	2dpf
9171	1884	1.53745502126268	2dpf
3956	1216	0.631951466127401	2dpf
13758	2466	1.17022823084751	2dpf
3722	1185	2.84793121977431	2dpf
11074	1899	1.625428932635	2dpf
12290	2181	1.00081366965012	2dpf
2603	641	5.64733000384172	2dpf
4649	1618	1.31211013121101	2dpf
3177	1070	1.66824047843878	2dpf
7534	1547	1.69896469338997	2dpf
6997	1849	1.14334714877805	2dpf
1854	769	2.69687162891046	2dpf
10742	2059	1.01470862036865	2dpf
12863	2637	1.4460079297209	2dpf
6633	1475	2.72878034072064	2dpf
13633	2171	1.04892540159906	2dpf
12314	2297	1.20188403443235	2dpf
670	365	2.53731343283582	2dpf
17452	2840	1.30644052257621	2dpf
1409	735	8.09084457061746	2dpf
12472	2291	1.18665811417575	2dpf
3879	1185	1.54679040989946	2dpf
15901	2524	1.1257153638136	2dpf
11252	1990	0.506576608602915	2dpf
574	256	41.1149825783972	2dpf
2881	721	4.79000347101701	2dpf
12924	2336	0.943980191891055	2dpf
1075	527	14.5116279069767	2dpf
10455	1628	0.363462458153993	2dpf
596	404	5.53691275167785	2dpf
566	341	1.06007067137809	2dpf
14389	2686	0.674126068524567	2dpf
16520	2801	1.2953995157385	2dpf
13088	2488	1.31418092909535	2dpf
6742	1683	1.29041827350934	2dpf
3861	1179	0.854700854700855	2dpf
5016	1362	0.817384370015949	2dpf
1678	588	9.8927294398093	2dpf
8394	1832	1.14367405289492	2dpf
15995	2788	0.837761800562676	2dpf
11851	2175	1.11383005653531	2dpf
3930	1434	0.966921119592875	2dpf
13475	2470	0.742115027829314	2dpf
16708	2966	0.831936796744075	2dpf
10357	2087	0.878632808728396	2dpf
1992	950	10.5923694779116	2dpf
5363	1684	1.17471564422898	2dpf
18449	3099	0.986503333514012	2dpf
3635	1152	1.12792297111417	2dpf
3407	981	0.821837393601409	2dpf
10678	2169	1.06761565836299	2dpf
4708	1216	1.50807136788445	2dpf
16096	2620	1.13071570576541	2dpf
12035	2142	1.13003739094308	2dpf
1763	715	2.72263187748157	2dpf
6868	1849	1.55794991263832	2dpf
7037	1428	1.59158732414381	2dpf
10807	2221	1.11039141297307	2dpf
8529	1582	1.12557157931762	2dpf
13427	2494	1.05012288672079	2dpf
11338	2253	1.65814076556712	2dpf
756	401	21.957671957672	2dpf
6702	1323	1.32796180244703	2dpf
10229	2157	1.25134421742106	2dpf
9417	2077	0.966337474779654	2dpf
638	371	1.09717868338558	2dpf
8917	2003	0.852304586744421	2dpf
3748	854	5.68303094983991	2dpf
3244	976	1.07891491985203	2dpf
8396	1598	1.22677465459743	2dpf
4524	1254	1.2157382847038	2dpf
12861	2628	1.02635875903895	2dpf
7260	1580	0.785123966942149	2dpf
9318	1829	1.00880017171067	2dpf
6017	1629	1.46252285191956	2dpf
755	458	15.364238410596	2dpf
7837	1771	1.17391859129769	2dpf
3666	1294	1.41843971631206	2dpf
4049	1350	0.987898246480613	2dpf
6554	1596	1.22062862374123	2dpf
10495	1831	0.0857551214864221	2dpf
11005	2195	0.835983643798274	2dpf
888	488	14.8648648648649	2dpf
9205	1989	1.02118413905486	2dpf
8435	1729	1.50563129816242	2dpf
14515	2400	1.07475025835343	2dpf
13100	2206	1.51908396946565	2dpf
8391	1801	1.63270170420689	2dpf
8230	2069	1.99270959902795	2dpf
657	355	24.5053272450533	2dpf
8992	1971	1.02313167259786	2dpf
4245	1345	1.13074204946996	2dpf
529	323	4.34782608695652	2dpf
8628	1785	0.938803894297636	2dpf
10204	2045	0.862406899255194	2dpf
4504	1399	1.17673179396092	2dpf
20757	3062	0.881630293394999	2dpf
5016	1509	1.27591706539075	2dpf
621	374	1.44927536231884	2dpf
13915	2534	1.13546532518865	2dpf
3784	1373	0.951374207188161	2dpf
3480	1092	0.948275862068966	2dpf
2561	792	0.0390472471690746	2dpf
2919	1290	7.63960260363138	2dpf
1416	732	18.4322033898305	2dpf
8891	1984	1.02350691710719	2dpf
15135	2316	0.839114634952098	2dpf
9231	2023	0.953309500595818	2dpf
9006	1787	1.89873417721519	2dpf
1962	550	7.59429153924567	2dpf
10340	2055	1.07350096711799	2dpf
7040	1566	1.03693181818182	2dpf
9999	1811	1.67016701670167	2dpf
9296	1758	1.26936316695353	2dpf
17859	3029	1.07508819082815	2dpf
12188	2247	1.74762061043649	2dpf
12585	1886	1.1124354390147	2dpf
4328	1396	1.01663585951941	2dpf
18246	3025	1.28795352406007	2dpf
756	470	3.83597883597884	2dpf
