PC_1	PC_2	PC_3	orig.ident	CellType
3.90868240873503	-0.552787367385289	6.08042925363037	adult19	*
1.86714717539494	2.04232023123346	1.71268431875745	adult19	*
1.56527906297276	1.4500448127783	2.05683959294619	adult19	*
-4.86782736185683	5.59660889139667	-0.180160265212611	adult19	*
8.76703884917799	-1.08890932963557	9.55352687916861	adult19	*
-2.64092752503241	5.36136201514	1.89201054745251	adult19	*
-3.38267014021395	4.96143503184713	1.26197732655585	adult19	*
4.91944981133493	1.54581302879282	-10.0941277469618	adult19	*
0.352178907503666	2.99152168293249	2.82556833009163	adult19	*
3.70814805196598	-2.46611011680155	7.74349805349539	adult19	*
0.482868870429773	3.14218301802828	1.81527477522864	adult19	*
-5.51813134681241	-15.6823563587168	0.412366462796578	adult19	*
-2.73808040868895	3.45114849205692	-0.720649419580209	adult19	*
